Seismic Zone,PGA (m/s²),PGV (m/s),PGD (m),Spectral Acceleration (g),Soil Type,Site Amplification Factor,Historical Earthquake Magnitude (Mw),Fault Distance (km),Seismic Wave Frequency (Hz),Building Height (m),Number of Stories,Structural Material,Foundation Type,Natural Frequency (Hz),Damping Ratio (%),Mass of Structure (kg),Axial Stiffness (kN/m),Bending Stiffness (kN·m²),Lateral Load Resisting System,Predicted Max Inter-Story Drift Ratio (%),Predicted Max Roof Displacement (m),Predicted Base Shear Force (kN),Predicted Structural Acceleration (m/s²),Predicted Damage Index (0–1 Scale),Predicted Collapse Probability (%)
Moderate,0.69531946,1.12656341,0.045789991,1.718848825,Sand,1.504131041,5.659630417,8.434270935,8.326132659,29.93149449,44,Concrete,Raft,0.437528065,3.364278687,368113.4038,9922.081665,20286.19887,Moment Frame,1.547000421,0.570546849,2164.618234,3.566903376,0.988378084,98.83780838
Low,0.152599527,1.704865227,0.455502306,1.006193993,Clay,1.727903332,8.482170361,94.39237257,0.511799967,65.91915005,48,Masonry,Shallow,4.46828765,1.402392471,923580.9197,3229.3481,20352.48697,Braced Frame,1.307179445,0.637497457,595.3721045,4.457460773,0.587712196,58.77121965
Moderate,0.279013522,0.919473242,0.004017475,1.173625444,Soft Soil,1.305375824,7.096591808,37.14328366,0.328795618,105.3047331,8,Concrete,Deep,3.394270233,3.412080853,671034.0881,7124.488133,21783.39312,Braced Frame,3.048853772,1.806727222,2259.352015,1.515872471,0.224186551,22.41865507
Low,1.171765451,0.820176922,0.242446249,1.022998756,Sand,1.239057555,5.495164245,91.34583757,3.792770289,119.8080954,2,Concrete,Pile,3.160342787,1.483992148,314270.6929,6172.431148,12866.85519,Moment Frame,0.740915646,0.475817328,2829.60272,2.690178331,0.587989858,58.79898582
Low,0.100016289,1.838615392,0.062500482,0.319947049,Clay,0.883125915,5.711038887,78.27165847,1.57300401,159.0242809,13,Composite,Deep,3.204321118,9.319348417,499280.5639,5144.89311,17039.34766,Shear Wall,2.954410869,1.100322904,51.64819103,1.893599463,0.819499583,81.94995829
Moderate,0.68319216,0.577221608,0.154531866,0.738896072,Clay,2.215413395,8.1140989,75.78828998,5.628006328,132.9667792,40,Steel,Deep,1.622095213,6.955486052,854252.2121,6824.802116,49282.52288,Moment Frame,0.535372277,1.417616469,615.5158724,0.106966193,0.85740368,85.740368
Very High,0.831514254,1.704003418,0.46310372,0.268548391,Soft Soil,1.377522639,4.698655029,61.0652384,9.181754125,123.7078734,21,Concrete,Deep,2.192693619,8.97960385,368690.7536,4027.94868,19040.23201,Braced Frame,2.50386101,0.551049648,1907.216199,2.939215931,0.800250455,80.02504546
Very High,0.176488188,1.019639088,0.081685582,1.159021875,Rock,0.915163793,8.964414842,63.05159789,3.97564933,85.29749536,31,Steel,Pile,4.036592028,7.455616133,549168.5416,9472.605363,26809.52581,Shear Wall,3.140030436,1.877441761,313.9824738,4.097400771,0.888209415,88.82094153
Very High,1.462309428,1.076781341,0.482950328,0.859686132,Rock,1.308154483,5.086582559,64.16232029,8.465008735,97.39264482,48,Masonry,Raft,1.670628977,2.18158184,695686.4746,7201.764243,42566.41903,Shear Wall,0.443537232,1.334738121,710.9684179,0.278553482,0.334766342,33.47663419
Very High,0.416575464,0.686089735,0.103691394,1.422574452,Sand,2.564210696,8.082308364,63.24341732,0.102384658,85.83156173,36,Concrete,Deep,2.456097006,9.465233831,766802.8719,7664.910374,26843.96274,Moment Frame,1.114070445,0.103807223,1197.392133,0.117109617,0.507570621,50.7570621
Very High,0.525878207,1.188780181,0.371041488,0.474799818,Soft Soil,2.6732762,6.276488925,55.81909491,1.76829497,169.2223759,48,Composite,Deep,0.294234903,9.099037483,215197.5663,2803.009903,16898.21766,Braced Frame,1.743333996,0.280117687,2176.527,3.666310192,0.779591096,77.9591096
Moderate,0.525519517,0.717901273,0.273791955,0.379762299,Rock,1.862745739,6.714972825,98.65498783,0.401193043,49.85008825,38,Masonry,Shallow,3.721080094,4.132684701,586894.6894,2101.529033,26663.79787,Moment Frame,1.906133606,0.389655324,3588.44413,3.450912653,0.264449951,26.44499508
Moderate,0.422583327,0.174611887,0.442354885,0.790764793,Soft Soil,1.715355475,8.462927599,73.49676618,3.348657087,6.115581651,27,Masonry,Pile,2.204970448,2.003800063,916589.9055,4246.237534,6590.229212,Moment Frame,3.412912752,0.497465154,706.8086285,2.088675316,0.371581438,37.15814379
High,0.102063351,0.61679735,0.277442634,1.675195151,Rock,2.951278126,6.358100353,77.91769245,9.091076997,132.00738,36,Composite,Deep,2.721722089,7.337392757,969941.7924,7783.388611,7370.340806,Moment Frame,2.692204569,1.464047966,3702.894931,3.34186392,0.831155655,83.11556546
Very High,1.121082712,0.112120182,0.26774505,1.307717086,Clay,1.241242251,6.918721892,87.37381869,1.059826024,44.48012581,48,Concrete,Pile,0.750508725,7.555251725,673337.7904,9418.561143,35011.26908,Shear Wall,1.972331504,0.186981137,4282.550612,4.771591755,0.77008565,77.00856496
Moderate,1.4535837,1.958874095,0.098533542,0.812170162,Rock,1.273790422,4.721848481,22.34833651,6.10345679,178.5724516,23,Concrete,Deep,4.960228298,9.071461404,984477.764,4559.633347,45955.57221,Shear Wall,2.308313646,0.707683398,3274.819896,1.314527703,0.971199568,97.11995679
High,0.414010877,1.934919699,0.083948452,0.979362689,Soft Soil,1.442107789,4.510563632,9.29661175,4.569809797,172.5140343,21,Masonry,Raft,1.65184557,1.473901835,592198.4865,7854.489529,36558.22854,Braced Frame,0.163585686,1.823652813,266.4421924,1.305040313,0.995974059,99.59740585
Very High,1.028266069,0.850795065,0.458328086,0.243162119,Clay,1.1800661,5.601599429,48.80654922,9.390835302,19.96183753,13,Concrete,Raft,3.247950376,2.275334542,470474.7783,4968.872385,4656.048792,Braced Frame,3.875573869,1.117768696,2231.23575,1.012537803,0.240744547,24.0744547
Low,1.138654858,1.483904623,0.164591261,1.773779024,Clay,1.634604316,7.562623918,51.89398887,1.312939511,25.74573906,37,Steel,Deep,2.989934455,6.384239136,574008.086,3304.668371,20741.88494,Moment Frame,0.300922975,0.538338162,3317.326708,3.647535075,0.900449986,90.04499862
High,1.287795531,0.757031587,0.186669045,1.232892418,Clay,2.803835299,5.04569202,83.08899622,2.19907572,101.5584605,47,Composite,Raft,3.968442579,6.572183958,159926.7746,7523.018932,1125.125825,Moment Frame,4.163655715,1.91454203,4893.640016,1.830627267,0.094515501,9.451550135
Moderate,0.691680876,1.375076998,0.380152006,0.585186916,Soft Soil,2.153765249,5.011928815,44.93457435,0.392465489,123.7984192,26,Steel,Deep,1.610417387,1.302486961,431630.1237,8082.920273,26049.13042,Moment Frame,2.750882955,0.496188625,4761.451521,4.944596357,0.709800209,70.9800209
Low,0.524103268,1.630317082,0.170072918,1.09587427,Sand,1.706282407,6.349322736,57.51444953,4.395958971,58.60712581,40,Concrete,Raft,3.828451256,4.57238846,485484.8004,2426.987544,10467.01976,Braced Frame,2.686314037,1.811148246,2008.730614,3.601779627,0.220099388,22.00993877
Low,0.555413188,1.898836865,0.476079161,0.286120022,Sand,2.855703748,7.415266674,53.18002291,2.850545706,144.7755548,7,Masonry,Shallow,2.036008307,6.257455581,856196.4088,3399.110269,43539.18579,Shear Wall,3.552435276,1.45428165,3098.858808,1.900146745,0.300311157,30.03111569
Low,1.097669866,0.860403324,0.369225957,1.741922337,Sand,0.906621311,7.704323965,4.782075592,8.712068746,121.0086241,46,Composite,Shallow,2.173572636,7.641201998,770716.1631,5200.380013,6112.417591,Shear Wall,4.31184171,1.483636864,4459.534979,0.831011567,0.946321178,94.63211777
High,1.243491253,1.588266168,0.299117192,0.397134479,Soft Soil,1.262607591,5.303028033,61.90627476,6.088914051,68.3407014,39,Concrete,Shallow,3.429020127,3.845356226,621355.256,2271.957383,1070.236534,Moment Frame,4.718966118,1.532229244,4163.678925,3.000921601,0.263151237,26.31512367
Moderate,0.354259555,0.605264056,0.440566685,1.201651541,Clay,2.044954931,4.858146663,82.97628529,6.179498306,9.947440168,22,Concrete,Pile,3.964571704,5.355131437,379913.3731,9323.925838,23106.15611,Moment Frame,2.762512447,1.018072931,2423.138079,1.54502594,0.673177869,67.31778692
Low,0.619317411,1.981631377,0.025753348,0.517272586,Sand,2.154215771,8.731786653,16.59255426,5.365915899,151.2793049,39,Masonry,Pile,3.400959853,8.326493851,227682.8564,6117.672169,8616.231892,Moment Frame,0.838225337,1.631011665,1343.144588,4.536994498,0.178128508,17.81285079
Very High,1.362716275,0.148962238,0.129274283,1.319854351,Soft Soil,0.887026514,5.672998722,59.83884166,1.009318339,46.87696484,23,Masonry,Shallow,4.519421699,9.585055575,380376.7699,1651.431135,37161.33273,Moment Frame,4.405291538,1.674024265,728.6447367,2.262881559,0.093389978,9.338997757
Low,1.229370928,1.246704732,0.233053131,1.420596324,Sand,1.686685267,8.340059239,59.7674439,4.505684969,167.72238,30,Steel,Pile,1.568763342,3.072832079,695813.8674,2248.283714,46076.80186,Braced Frame,0.29929289,0.727368576,2465.501768,1.533984826,0.339317025,33.93170253
Low,1.478801764,1.353061365,0.114262291,1.244813539,Rock,2.228138723,8.385711527,17.25431144,9.995101378,86.95660071,18,Composite,Raft,4.522960314,3.277379852,299885.9091,9566.375781,3054.962701,Shear Wall,4.055952137,0.806685591,3628.087083,2.983903891,0.624196101,62.41961008
High,1.155947564,1.407286558,0.372208688,1.144649082,Sand,2.335755202,7.976351663,13.2228938,8.368769979,117.5301013,42,Composite,Deep,0.828144925,9.458363687,455542.3609,7512.601564,20383.52348,Moment Frame,3.434065969,1.77862587,4850.36008,0.771175055,0.247945144,24.79451438
High,0.650473281,0.3287364,0.459684807,1.61719746,Sand,2.203907786,5.25975123,98.02514235,8.945244636,175.2250024,18,Masonry,Deep,3.365745531,4.563200357,417431.7231,7476.848303,49843.93383,Braced Frame,4.533165276,1.054211228,4315.983779,2.851590457,0.300168799,30.01687987
Moderate,0.926892968,1.883206589,0.21246129,0.233665409,Clay,1.505239094,8.198106567,39.9781978,8.249940957,173.4064852,46,Steel,Deep,2.828627127,7.465134921,777310.5606,1188.736643,36900.92653,Moment Frame,4.497569436,1.735217557,1060.992728,0.374946245,0.708729819,70.87298186
Very High,1.025419956,0.44424823,0.171724167,0.662555102,Soft Soil,1.005744272,7.961627517,23.51475114,1.120112765,77.44631717,10,Composite,Shallow,2.574252514,6.510387059,889597.7091,9005.338958,47706.19454,Moment Frame,0.360455019,1.257271229,3612.901728,3.073754541,0.102796023,10.2796023
High,0.209838143,1.283231466,0.480813815,0.522088715,Clay,1.739647382,7.185253455,17.9611299,2.351737715,45.73333408,39,Masonry,Pile,1.692377739,3.570289118,714402.409,4715.485944,9040.080976,Shear Wall,3.086287395,1.191199836,1481.051207,2.697802835,0.446905092,44.69050918
Low,0.862295743,0.52308455,0.222981364,1.779623736,Clay,1.083259762,6.017409158,67.09256964,0.130904348,156.1534852,30,Concrete,Raft,2.617917177,6.882059998,374522.1479,6767.314565,11847.05942,Moment Frame,0.71089013,0.071652097,3433.189342,2.651753312,0.94173453,94.17345299
Moderate,1.09304916,0.683711192,0.245035152,0.761962625,Clay,2.884772049,5.681288719,61.33508444,3.104750236,89.4506397,26,Composite,Raft,0.976512111,6.900093109,461518.1965,9617.047582,8585.750789,Shear Wall,0.484496198,0.563009852,3345.737029,3.452405497,0.396971662,39.69716624
Low,0.334249826,1.138271229,0.176473286,1.345441589,Clay,1.845375905,5.048501454,64.71166018,1.175213283,42.44818874,7,Steel,Shallow,1.972740532,6.331988669,186182.6464,1450.117613,15816.08266,Shear Wall,2.296558015,1.009094717,1398.531484,0.317837411,0.434201028,43.4201028
Low,1.192884404,0.892667495,0.454864688,1.264032779,Clay,1.497970184,6.793906801,9.712596724,4.780654118,181.3629418,7,Steel,Raft,0.673668404,1.896947424,209692.5754,5081.626365,36494.81935,Shear Wall,0.578227945,1.178761173,1210.22367,2.352684177,0.738204304,73.82043036
High,0.917281893,0.404428642,0.284908786,0.460538104,Sand,2.485868956,7.13367394,89.45992377,6.803562137,43.63031788,5,Steel,Raft,2.944863679,9.956546401,206077.9392,971.3209983,9082.386377,Braced Frame,3.666721677,1.264564713,564.4919248,2.275789449,0.779011522,77.9011522
Moderate,1.4331105,0.424779165,0.381325119,0.506296056,Clay,1.895486904,6.117025457,39.53737328,8.757602421,10.0323978,1,Concrete,Raft,0.659685854,4.603748151,174057.0397,5245.681522,26687.46786,Braced Frame,4.847809481,1.435283422,300.1712022,2.352933965,0.76960639,76.96063898
Very High,0.159391217,0.894475098,0.406091552,0.578183758,Clay,1.482074853,6.639115805,32.02357124,7.517249934,8.954594885,46,Composite,Raft,0.969654291,6.744258869,220602.1671,2896.4644,14191.28604,Shear Wall,2.890956493,1.31590453,4299.332741,4.901465758,0.997867025,99.78670249
Very High,0.471456593,1.538837659,0.171582672,0.798916373,Soft Soil,2.586329033,6.135815058,46.77378328,9.391997398,126.3514945,18,Composite,Pile,0.610240647,8.971855247,242553.7924,9155.122528,41630.59318,Moment Frame,1.252327461,1.698667648,296.7545034,0.782464518,0.071451087,7.145108749
High,0.942175431,1.806132829,0.217413471,0.498352612,Rock,2.707734732,7.384527258,39.61654051,0.633593075,134.0266368,13,Concrete,Raft,2.030291072,4.809596396,156253.6466,4285.678696,1323.027862,Shear Wall,4.231711318,0.597985982,489.2687743,3.48310581,0.982253285,98.22532846
High,0.515183877,0.259842558,0.424387415,0.133407521,Sand,2.280617966,8.555666435,86.49412331,0.220580371,65.65313249,25,Composite,Deep,4.241400581,7.965325511,658247.6858,6521.788237,11932.63297,Moment Frame,4.280206537,1.286724271,1232.317575,2.069781073,0.950189617,95.0189617
Moderate,1.10019383,0.846897424,0.18226442,1.594968197,Sand,0.903321729,5.237641179,92.99683654,6.647247327,67.4021429,40,Concrete,Shallow,4.55310268,9.746419822,990881.4579,8672.729016,30656.79712,Shear Wall,3.690651265,0.111807433,4443.908726,2.607459969,0.8521389,85.21389003
Very High,1.162607396,0.290466571,0.397173632,1.741536713,Sand,2.045910336,6.216339645,31.04186843,2.964588861,71.20131344,8,Concrete,Pile,0.545069382,4.230412842,885227.4074,9845.072655,5738.814597,Moment Frame,3.114147706,0.965578254,1698.054784,3.835730139,0.454125576,45.41255759
Very High,0.24352235,0.131525713,0.470555169,0.680669658,Clay,2.479248806,5.133908718,86.52964494,2.609660059,137.6309166,10,Concrete,Raft,3.245840676,4.647426132,93322.58763,5286.284018,23849.29858,Braced Frame,4.352183028,0.543385602,999.4078094,0.871139669,0.870902372,87.09023716
Very High,0.81939625,1.357265497,0.311981976,0.675461695,Clay,1.100306627,7.312246967,78.37078982,3.375782168,16.33608925,32,Steel,Pile,3.485050038,9.150184531,451905.8687,4829.698177,22374.15753,Moment Frame,0.900129242,0.767965425,3591.999704,3.841567542,0.220832412,22.08324123
Low,0.812446778,1.24465394,0.371072016,0.112056082,Clay,1.303075653,7.779917293,93.14995956,2.770980973,186.1776888,17,Composite,Raft,2.762095724,2.43678581,866345.0503,1219.52663,42773.62733,Shear Wall,4.664840619,0.715778876,1629.395287,0.444620835,0.791655835,79.16558354
Very High,0.616993078,0.409736316,0.402743559,1.25642617,Soft Soil,2.741489231,8.693607297,25.32928091,5.163220422,48.39160361,38,Concrete,Deep,3.401527335,1.257353545,177941.0771,621.0199617,31644.46247,Braced Frame,4.741295431,0.130257048,1700.164858,2.468216605,0.185238303,18.52383031
Low,1.406094808,0.544244383,0.422674785,1.503247823,Rock,0.844267788,5.754923668,58.11895586,4.457469628,199.936275,15,Composite,Shallow,1.321715434,9.180001044,855262.8893,6283.619879,32345.40105,Moment Frame,4.372762633,0.938625143,3707.93415,3.736147203,0.815362003,81.53620035
Moderate,1.258508848,0.145044732,0.198131616,0.349234111,Clay,2.455999703,8.775950426,28.17991389,5.173042659,38.44692529,15,Steel,Raft,2.550292217,8.394324167,613065.6059,1121.911345,47638.57249,Moment Frame,1.32824397,1.989312283,1295.681437,1.043502131,0.614529133,61.45291333
Low,1.076093135,1.686399691,0.026580466,0.371432794,Rock,1.842301244,4.784682023,82.58535456,6.759864754,155.4515592,48,Concrete,Raft,2.076204075,9.753247293,934733.625,4113.599902,49135.65839,Moment Frame,4.305074093,0.604882753,4488.962236,3.877486666,0.09803128,9.803127951
Moderate,1.10005729,1.951912132,0.201536259,1.443141525,Soft Soil,1.782898749,7.213562385,1.527094867,3.932592039,48.56544626,40,Masonry,Raft,0.630598167,1.524140044,882237.1586,534.261143,33016.34188,Moment Frame,2.538427238,1.474930484,2829.037306,0.917381284,0.895319555,89.53195554
Very High,0.746402601,0.35737312,0.337204359,1.147694272,Sand,0.815612371,4.757097237,56.91709713,2.587946103,20.76512632,20,Steel,Raft,3.202670911,2.405595974,693182.606,6344.66124,26578.07106,Moment Frame,3.015158163,1.100098786,2712.26697,4.016269909,0.577957195,57.79571955
Very High,1.38939233,0.539802906,0.225724843,0.176262948,Clay,2.602676108,8.521983845,34.5811397,1.745385314,175.6119982,15,Masonry,Shallow,2.577032925,1.947813032,674931.5269,4541.444024,30788.08286,Braced Frame,4.21894305,0.657198348,1360.523564,2.397784307,0.656248278,65.62482781
Moderate,1.072433598,1.749978095,0.374732612,1.158329884,Rock,1.591614781,6.884140757,32.945687,3.559793783,172.4564955,35,Composite,Shallow,1.520835329,7.150745191,252505.9923,1706.697313,19739.74155,Braced Frame,0.244955938,0.18831805,4183.716984,3.454727826,0.283510036,28.35100357
High,1.120573486,1.860281216,0.179134232,0.625160129,Rock,1.989684389,7.512067578,64.84572606,7.443884105,83.69622653,6,Composite,Deep,2.47368925,6.454090664,160915.3188,3315.492265,49385.37423,Braced Frame,1.878418702,0.439557223,2885.110277,4.595291646,0.871635504,87.16355039
Moderate,1.306367265,0.897292027,0.317737326,0.726832764,Clay,2.29006151,8.242082667,85.29696048,7.59137861,141.9672478,30,Steel,Shallow,3.921430488,4.234016794,444623.7585,5911.77664,35546.04172,Braced Frame,4.096897548,1.565888544,819.8069121,2.101265466,0.545200735,54.52007352
High,0.483700225,0.196182697,0.094023483,1.408543411,Sand,2.345785068,5.176397801,61.31034375,6.702363328,113.6278569,8,Composite,Raft,4.047957261,1.516811315,227251.0375,6738.776996,15259.33292,Shear Wall,4.088378441,0.565250153,1071.176274,1.241491881,0.421120284,42.11202843
Low,1.229899265,0.174844484,0.374935349,1.478589828,Sand,2.903156129,4.673662029,85.46412489,2.416878936,171.3264422,31,Masonry,Deep,3.317725418,6.756957856,147295.8818,4892.190857,3830.54865,Braced Frame,4.258570842,0.29716194,2367.866749,4.349104073,0.534281745,53.42817452
Low,0.373336844,1.190504746,0.273302288,0.780606266,Sand,1.968947897,8.454965157,27.19511408,5.922053834,66.43591402,48,Concrete,Deep,2.4451896,6.131084366,337210.3966,8137.611603,3191.374528,Moment Frame,0.929157911,0.669283698,3909.227021,0.891921576,0.703313081,70.33130815
Low,0.583478733,0.846500707,0.10282813,1.710159991,Soft Soil,1.679383012,5.917199524,52.43068362,5.74982765,107.116118,47,Concrete,Deep,2.963598268,2.0161289,867465.4457,1568.183911,11040.73605,Moment Frame,3.558844429,1.172245475,4699.511604,3.194232654,0.695047876,69.50478757
Very High,0.569854636,0.154439612,0.146663676,0.790986621,Rock,2.898147978,5.080405086,45.60311737,4.894235361,99.64761238,32,Concrete,Raft,2.048073783,9.18018734,66290.74632,1303.184365,12412.73966,Braced Frame,0.817866368,1.409891697,3334.31822,4.623941111,0.357577101,35.7577101
Low,1.469935656,1.208179545,0.374555746,1.41212126,Rock,2.212642517,6.608075567,2.152845051,5.544791965,74.01163612,45,Steel,Pile,0.807470446,2.790547387,328005.7976,920.3205557,21337.2292,Moment Frame,3.946980244,0.780856026,2555.409085,3.404543887,0.38525828,38.52582801
High,1.299152113,0.12147482,0.241818017,0.92259135,Rock,1.455930784,7.192377341,56.12440217,4.968727263,178.8337376,15,Composite,Raft,2.050978867,7.691582369,452849.576,5590.364475,11527.45457,Braced Frame,1.301117422,1.001312843,1291.123289,1.058837319,0.562238193,56.22381928
Low,1.081637806,1.59600672,0.108799689,1.625804955,Soft Soil,1.07822134,4.639367715,66.49090809,5.698018024,37.34619531,18,Masonry,Shallow,2.745597229,8.965682763,535041.2621,7209.20119,31914.61111,Moment Frame,3.715306865,0.915284217,3380.696404,0.846191364,0.924407121,92.44071207
Moderate,1.117879466,0.682222363,0.483668324,1.643194114,Rock,2.653619903,5.737030462,59.59952604,7.183508951,34.15418471,13,Composite,Shallow,3.07440327,6.215274916,222498.633,1739.953295,11351.48181,Shear Wall,2.329507931,0.027916666,4912.086791,1.336297102,0.745430267,74.5430267
Moderate,0.886901912,0.176490206,0.357847385,0.248608573,Soft Soil,1.596799526,4.647599434,73.89170998,1.185319125,117.4973594,24,Composite,Raft,4.691844685,3.221640148,966009.1898,6569.983408,10205.95041,Shear Wall,4.932690976,0.797244945,2407.301254,2.017893481,0.390414985,39.04149854
Very High,1.425926934,1.21786922,0.478610281,1.692038663,Sand,2.253033387,6.391509251,57.56261332,7.521294946,133.2113748,40,Composite,Raft,3.931200536,3.783236659,599929.3914,5031.003779,24090.61265,Braced Frame,2.941479771,1.178766422,852.6023005,0.879879256,0.337032627,33.70326266
Moderate,0.794762254,0.855600387,0.214125418,1.503409231,Clay,1.835796123,8.527950131,7.60827523,1.445272886,42.95075459,14,Concrete,Deep,0.929564295,8.971727803,546005.0197,9879.772751,44544.76137,Braced Frame,3.199638885,1.144189986,561.5358782,4.009288926,0.523636674,52.36366741
High,0.632724794,1.950220785,0.23807507,1.445228214,Rock,1.237645516,8.921935852,12.52810688,0.759617184,81.18990124,28,Masonry,Raft,1.036074592,3.684314407,58381.45948,7315.999288,23946.96888,Braced Frame,1.904001218,1.502037441,1382.818104,1.849473179,0.869991369,86.99913689
Low,0.328249472,1.133977459,0.449079653,0.441549277,Rock,2.123710539,7.366713991,60.05098318,9.763188894,189.5799494,11,Masonry,Deep,0.682374844,7.71571435,511429.6104,6745.996684,21278.58848,Moment Frame,3.699148773,1.344048062,2868.737994,4.686825006,0.008679242,0.86792416
Very High,1.200687913,0.622954444,0.262999621,1.468702655,Sand,0.933502752,5.227369622,28.22294001,9.574218512,53.09039742,6,Composite,Shallow,3.743272291,9.91148691,845787.098,5919.272481,29326.65047,Braced Frame,2.524939641,0.560845526,4736.68624,4.228205234,0.710486068,71.04860683
Low,1.128221505,1.447933843,0.353932177,1.545225649,Clay,1.709353412,8.576322255,8.884867774,0.698321795,135.3303369,25,Concrete,Deep,3.589386937,9.998350474,258662.3159,9974.978725,13603.47026,Shear Wall,0.188526512,0.518730906,1530.867161,4.553209488,0.294512255,29.45122554
Low,0.638097054,0.615834805,0.126834266,0.591555569,Soft Soil,2.002552867,6.823115204,43.5306716,4.488209071,149.3291318,1,Concrete,Raft,4.934541928,5.801317734,383647.19,9814.362123,18318.39117,Moment Frame,3.08204983,0.933642178,1561.686298,1.543014304,0.20839748,20.83974802
High,0.13527078,1.818062254,0.223916508,1.718842133,Clay,1.759303343,5.191871904,55.87793721,1.943824889,92.3850964,25,Masonry,Shallow,2.705712405,8.439002171,69542.89145,5612.093692,11477.92753,Braced Frame,4.169251993,1.468609639,2431.839313,2.911284565,0.012137997,1.213799682
Moderate,1.274596259,0.811971744,0.062601483,0.184762249,Sand,2.447078786,8.647770013,33.54585285,4.904914482,187.8175674,2,Concrete,Pile,4.166791658,9.912248811,978081.1385,4824.2418,29018.68974,Moment Frame,1.260328673,0.19671634,4596.784559,1.675102638,0.896590621,89.65906206
Moderate,0.115985177,1.144750269,0.103784038,0.354845731,Sand,2.6214349,7.908610728,72.32293652,8.318754706,148.6480634,32,Concrete,Deep,2.966911321,4.372056009,113319.2073,4890.091766,35171.99052,Moment Frame,1.1832124,1.8971699,2124.3225,1.359047707,0.91224847,91.224847
Low,1.085179691,0.196088897,0.001470764,1.013887935,Clay,2.496734763,7.792673727,64.7332902,9.51105657,94.29529307,13,Concrete,Shallow,4.39561622,3.271686266,903310.0677,4569.252708,34011.23341,Braced Frame,3.083542297,1.090874716,1154.98549,3.074725228,0.061417442,6.141744164
Very High,1.458359954,0.909630352,0.020593261,1.078847201,Soft Soil,0.885388485,7.691313167,33.94901775,6.379101269,116.0203643,33,Steel,Deep,3.660900989,2.028100203,347338.3285,5548.283916,13486.07308,Moment Frame,4.108098454,0.619752706,857.4980292,4.108177365,0.521815323,52.18153231
Moderate,0.712725859,1.681490725,0.488664628,1.196755142,Soft Soil,1.227083295,5.401529195,75.73238036,3.603666105,140.0596215,32,Composite,Shallow,3.285843272,2.268096743,608178.5819,3099.050544,39202.76208,Shear Wall,1.323139655,1.389848549,2312.226078,0.55862925,0.152574459,15.25744587
Very High,0.428962767,1.63073273,0.121934494,0.12884752,Rock,1.98053652,5.449530113,65.22080921,6.0729231,120.4770852,24,Masonry,Shallow,2.912588821,8.682007273,695349.763,9304.49344,13541.7296,Shear Wall,4.668086991,0.099004374,4013.353307,1.451266931,0.758687555,75.86875546
Moderate,1.086819414,0.526205262,0.331992044,1.732623517,Soft Soil,2.856608489,7.597318493,64.10709249,3.18881293,176.3460288,27,Masonry,Deep,3.670258517,6.298507813,183787.7091,5157.185774,8365.266012,Moment Frame,4.644198048,0.973949862,1492.194403,1.105157486,0.665391472,66.53914718
Very High,1.243979399,0.529550235,0.41971075,0.175799758,Clay,2.636904905,5.488752375,55.78934238,9.107254044,74.59328914,4,Steel,Pile,2.214338445,8.863382579,471571.4089,8499.074212,18140.62869,Braced Frame,1.082629692,0.977079598,2586.987064,4.011915848,0.297130813,29.7130813
High,0.865002443,1.652880093,0.275779569,0.34320532,Sand,2.653575918,6.474022636,2.127577141,8.716964585,63.47771931,24,Composite,Shallow,0.663567587,8.105095801,359192.7952,5015.384909,30289.46037,Moment Frame,1.392543619,0.332330817,3034.890948,4.673523158,0.116960281,11.6960281
Very High,1.453849385,1.867756998,0.077419106,0.12382468,Rock,1.467058026,8.019008215,69.95421116,5.626494328,46.69858345,23,Masonry,Shallow,0.391933418,7.06370167,103772.3423,7323.757602,7958.089121,Shear Wall,3.532934174,1.676401754,2279.828538,0.49171928,0.831220663,83.12206628
High,0.17233621,0.28118575,0.364330102,1.063659337,Rock,1.744785374,8.027786331,38.22813732,3.315509262,12.36767877,29,Concrete,Shallow,2.499313912,6.483809727,841533.9717,3700.378663,32756.26849,Moment Frame,4.763492234,1.595656116,998.8666947,1.958145732,0.674252479,67.42524793
High,0.806713838,0.955111415,0.300525454,1.684853703,Sand,1.835553084,6.539677976,94.31836131,3.004557788,13.38772305,34,Masonry,Pile,3.076599595,1.435050138,92909.36867,6435.665148,43290.33182,Moment Frame,3.578425175,0.313937465,4612.641106,4.581094309,0.006819945,0.6819945
Very High,1.105835526,0.74116313,0.365894044,1.232110182,Soft Soil,1.146217483,8.064854722,81.98049234,0.430838148,174.6607627,21,Concrete,Pile,0.578475347,8.850476764,670595.0615,5234.528732,15363.885,Shear Wall,2.280010244,0.734016314,2848.973714,1.788727281,0.627871781,62.78717809
High,1.30769666,1.754308065,0.385103565,1.498517696,Sand,0.868349887,8.273798083,59.18175248,8.176626425,137.2866635,30,Steel,Raft,1.577137035,4.760578555,348373.5076,3987.585437,23060.12419,Moment Frame,0.928106597,0.209854818,3659.2152,3.592041038,0.810296028,81.02960277
Low,0.350957857,0.258697338,0.487729773,0.122578046,Soft Soil,2.883186379,7.446490881,25.9660162,4.558793809,133.803821,26,Concrete,Deep,1.745754589,6.038081714,232522.8608,8874.78448,12187.21086,Moment Frame,2.358948259,1.698731426,3198.412877,0.593265294,0.59076806,59.07680596
